OrderDate,Sales,Profit
97,2022-02-04,1.31,-3.49
98,2022-02-05,0.93,-1.01
99,2022-02-05,1.6,1.56
100,2022-02-05,1.34,1.19
101,2022-02-05,0.87,-4.67
102,2022-02-05,1.66,0.67
103,2022-02-06,1.48,0.54
104,2022-02-06,1.51,-0.53
105,2022-02-06,1.39,0.71
106,2022-02-06,1.35,-1.34
107,2022-02-07,1.16,0.44
108,2022-02-07,1.84,-0.63
109,2022-02-07,1.82,-2.48
110,2022-02-07,1.99,-3.21
111,2022-02-07,1.07,0.24
112,2022-02-08,1.1,-2.09
113,2022-02-08,1.87,1.13
114,2022-02-08,1.98,1.73
115,2022-02-08,1.29,-0.19
116,2022-02-09,1.14,0.47
117,2022-02-09,1.63,-0.68
118,2022-02-10,1.04,-1.6
119,2022-02-10,1.74,1.68
120,2022-02-11,2.47,0.39
121,2022-02-11,0.83,0.71
122,2022-02-11,1.26,-3.18
123,2022-02-12,1.87,-0.9
124,2022-02-13,2.36,-0.32
125,2022-02-13,1.43,-1.14
126,2022-02-13,1.57,-1.55
127,2022-02-13,1.69,0.95
128,2022-02-13,2.24,1.06
129,2022-02-14,2,0.07
130,2022-02-14,1.42,0.45
131,2022-02-15,1.38,0.03
132,2022-02-15,1.69,1.2
133,2022-02-16,1.23,0.04
134,2022-02-16,0.89,-1.86
135,2022-02-17,1.35,0.8
136,2022-02-17,1.71,1.4
137,2022-02-17,1.65,-3.49
138,2022-02-17,1.54,-0.4
139,2022-02-18,1.01,-0.72
140,2022-02-18,1.65,-0.31
141,2022-02-18,1.73,-2.01
142,2022-02-19,2.91,-0.9
143,2022-02-19,0.79,-1.24
144,2022-02-19,1.2,-1.37
145,2022-02-19,1.78,1.56
146,2022-02-19,1.13,-3.95
147,2022-02-20,2.77,0.67
148,2022-02-20,2.37,-0.77
149,2022-02-21,1.85,1.4
150,2022-02-21,1.34,-2
151,2022-02-22,1.74,-0.15
152,2022-02-22,1.69,0.75
153,2022-02-23,2.05,0.75
154,2022-02-23,1.43,-1.06
155,2022-02-23,1.6,-1.2
156,2022-02-23,1.87,-0.51
157,2022-02-23,1.99,-1.82
158,2022-02-24,1.54,0.6
159,2022-02-25,1.46,-3.72
160,2022-02-26,2.21,-0.84
161,2022-02-26,1.66,-1.23
162,2022-02-26,1.24,-1.94
163,2022-02-26,1.13,0.66
164,2022-02-27,2.23,0.77
165,2022-02-27,1.88,1.54
166,2022-02-27,1.9,0.32
167,2022-02-27,2.46,-1.21
168,2022-02-27,2.55,-2.78
169,2022-02-28,2.12,-1.47
170,2022-02-28,1.02,-0.28
171,2022-03-01,1.54,0.21
172,2022-03-02,1.03,-0.2
173,2022-03-02,2.45,0.78
174,2022-03-02,95.71,25.67
175,2022-03-02,0.87,-1.62
176,2022-03-02,1.65,-0.04
177,2022-03-03,1.54,-0.54
178,2022-03-03,2.29,-1.57
179,2022-03-03,1.57,-0.32
180,2022-03-03,3.18,-1.88
181,2022-03-04,2.04,-1.14
182,2022-03-04,1.28,0.33
183,2022-03-04,1.06,-0.24
184,2022-03-04,1.6,-1.86
185,2022-03-05,1.44,0.82
186,2022-03-06,1.62,-2.2
187,2022-03-06,2.02,-0.48
188,2022-03-06,1.51,-0.29
189,2022-03-07,1.18,0.21
190,2022-03-07,2.94,-1.44
191,2022-03-07,3.05,-1.66
192,2022-03-08,3.71,-0.01
193,2022-03-08,2.31,-1.11
194,2022-03-08,1.68,0.5
195,2022-03-08,1.86,-0.5
196,2022-03-08,86.17,22.09
197,2022-03-09,2.43,0.76
198,2022-03-09,1.13,-0.13
199,2022-03-09,1.27,1
200,2022-03-09,2.91,0.94
201,2022-03-09,4.71,-0.85
202,2022-03-10,1.94,1.1
203,2022-03-10,3.25,-0.94
204,2022-03-10,1.41,-0.54
205,2022-03-10,2.51,1.06
206,2022-03-11,1.74,1.62
207,2022-03-11,1.2,0.33
208,2022-03-11,1.75,-2.35
209,2022-03-11,1.8,0.38
210,2022-03-11,1.37,-0.11
211,2022-03-12,2.06,0.9
212,2022-03-12,1.98,0.27
213,2022-03-12,3.02,0.91
214,2022-03-12,2.7,-0.94
215,2022-03-13,2.26,0.4
216,2022-03-13,2.4,0.9
217,2022-03-14,1.38,0.92
218,2022-03-14,3.64,0.19
219,2022-03-15,1.31,-3.75
220,2022-03-16,1.88,-0.58
221,2022-03-16,1.24,-1.27
222,2022-03-17,1.71,-3.39
223,2022-03-17,3.75,1.33
224,2022-03-17,2.3,0.84
225,2022-03-17,1.79,-1.45
226,2022-03-17,2.49,2.09
227,2022-03-18,1.65,-0.84
228,2022-03-18,2.38,-0.58
229,2022-03-18,1.91,0.77
230,2022-03-18,1.4,1.28
231,2022-03-18,3.11,0
232,2022-03-19,1.95,-3.84
233,2022-03-19,1.9,-0.36
234,2022-03-19,1.4,0.53
235,2022-03-19,3.2,-0.74
236,2022-03-20,1.49,0.99
237,2022-03-21,2.31,1.51
238,2022-03-21,2.73,-0.93
239,2022-03-21,3.3,-0.14
240,2022-03-21,2.83,-0.1
241,2022-03-22,2.91,-1.2
242,2022-03-22,2.29,-0.08
243,2022-03-23,1.93,1.61
244,2022-03-23,1.51,-3.02
245,2022-03-24,2.18,-0.52
246,2022-03-24,2.45,0.78
247,2022-03-24,1.54,0.31
248,2022-03-25,2.66,2.51
249,2022-03-25,1.82,1.58
250,2022-03-25,2.35,0.62
251,2022-03-25,2.11,-1.49
252,2022-03-25,1.9,-2.24
253,2022-03-26,1.27,-0.11
254,2022-03-26,2.15,-1.1
255,2022-03-26,1.53,0.77
256,2022-03-26,1.69,-1.88
257,2022-03-26,2.74,-2.67
258,2022-03-27,3.59,-2.06
259,2022-03-27,2.75,1.15
260,2022-03-27,1.83,-0.09
261,2022-03-28,2.32,1.62
262,2022-03-28,2.35,0.4
263,2022-03-28,2.37,-2.41
264,2022-03-28,2.14,1.48
265,2022-03-29,1.55,-2.3
266,2022-03-29,2.56,0.5
267,2022-03-29,1.83,-1.06
268,2022-03-29,1.54,0.21
269,2022-03-29,2.4,-2.78
270,2022-03-30,2.1,0.72
271,2022-03-31,1.94,1.71
272,2022-03-31,1.56,0.77
273,2022-03-31,1.92,0.25
274,2022-03-31,2.91,-0.43
275,2022-04-01,2.9,1.94
276,2022-04-02,1.78,-0.94
277,2022-04-03,1.63,0.03
278,2022-04-03,1.48,-3.82
279,2022-04-03,2.3,2.24
280,2022-04-03,3.18,0.24
281,2022-04-03,1.6,0.45
282,2022-04-04,3.44,0.69
283,2022-04-04,3.15,1.26
284,2022-04-04,2.48,0.92
285,2022-04-05,2.3,0.27
286,2022-04-06,3.12,-0.82
287,2022-04-06,1.93,-1
288,2022-04-07,1.96,-3.7
289,2022-04-07,2.16,-3.2
290,2022-04-07,2.13,0.48
291,2022-04-07,2.42,0.76
292,2022-04-07,3.05,1.22
293,2022-04-08,55.51,16.29
294,2022-04-09,1.41,-0.2
295,2022-04-09,2.96,0.4
296,2022-04-09,4.03,2.88
297,2022-04-09,1.11,-0.3
298,2022-04-09,3.54,1.28
299,2022-04-10,2.69,-0.22
300,2022-04-10,2.86,-0.19
301,2022-04-10,1.98,1.07
302,2022-04-10,65.97,19.58
303,2022-04-10,2.98,-2.69
304,2022-04-11,2.36,-1.09
305,2022-04-12,3.21,0.75
306,2022-04-12,2.9,-0.04
307,2022-04-13,2.32,2.28
308,2022-04-13,3.58,0.5
309,2022-04-13,2.8,-0.25
310,2022-04-14,2.24,1.49
311,2022-04-14,1.53,-1.65
312,2022-04-15,2.84,-2.84
313,2022-04-15,1.64,0.88
314,2022-04-16,1.7,-0.07
315,2022-04-17,1.88,-2.3
316,2022-04-17,1.33,-1.81
317,2022-04-17,2.39,-2.06
318,2022-04-18,1.85,-0.23
319,2022-04-19,1.71,0.74
320,2022-04-19,2.12,1.7
321,2022-04-19,2.86,1.19
322,2022-04-19,2.5,1.34
323,2022-04-19,2.9,-1.22
324,2022-04-20,2,1.83
325,2022-04-21,2.72,0.84
326,2022-04-21,3.84,-0.59
327,2022-04-21,1.8,-0.23
328,2022-04-22,2.44,1.03
329,2022-04-23,3.25,2.09
330,2022-04-23,2.65,-1.17
331,2022-04-23,3.91,2.29
332,2022-04-24,3.68,-0.84
333,2022-04-24,2.09,1.68
334,2022-04-24,2.92,-1.77
335,2022-04-24,1.9,-2.38
336,2022-04-24,2.21,0.92
337,2022-04-25,3.36,2.68
338,2022-04-26,2.47,-1.24
339,2022-04-27,2.83,2.6
340,2022-04-27,3.21,1.46
341,2022-04-28,1.83,0.57
342,2022-04-28,2.13,1.48
343,2022-04-29,3.18,1.21
344,2022-04-29,2.45,-0.56
345,2022-04-29,2.13,0.89
346,2022-04-29,2.49,1.28
347,2022-04-30,1.43,-1.01
348,2022-04-30,1.86,-1.17
349,2022-04-30,2.67,1.74
350,2022-04-30,1.53,-1.58
351,2022-05-01,2.56,0.59
352,2022-05-01,2.71,1.06
353,2022-05-02,1.71,-3.94
354,2022-05-02,3.25,0.45
355,2022-05-03,2.02,-1.55
356,2022-05-03,2.72,1.76
357,2022-05-03,1.73,1.16
358,2022-05-03,2.5,-2.56
359,2022-05-04,3.61,1.25
360,2022-05-04,3.2,-1.75
361,2022-05-04,2.08,-1.22
362,2022-05-04,3.36,2.09
363,2022-05-05,4.95,1.03
364,2022-05-05,2.52,0.12
365,2022-05-06,3.75,-0.5
366,2022-05-07,3.19,-3.24
367,2022-05-08,2.46,1.39
368,2022-05-08,3.89,-3.81
369,2022-05-09,1.31,0.5
370,2022-05-09,2.57,0.84
371,2022-05-10,3.87,0.02
372,2022-05-11,3.3,-3.44
373,2022-05-11,3.3,1.79
374,2022-05-11,4.26,1.68
375,2022-05-11,2.76,-0.09
376,2022-05-12,3.11,1.33
377,2022-05-12,3.35,2.46
378,2022-05-12,2.11,1.48
379,2022-05-13,3.32,2.14
380,2022-05-13,3.57,1.87
381,2022-05-13,2.28,-0.68
382,2022-05-13,1.88,1.03
383,2022-05-13,2.54,1.39
384,2022-05-14,2.75,0.02
385,2022-05-14,2.25,-2.86
386,2022-05-15,2.06,0.04
387,2022-05-15,3.33,-0.11
388,2022-05-15,2.09,-3.51
389,2022-05-15,2.98,2.33
390,2022-05-16,3.05,0.62
391,2022-05-16,3.81,3.69
392,2022-05-17,2.74,0.39
393,2022-05-17,1.52,-0.78
394,2022-05-17,3.31,-1.36
395,2022-05-18,2.68,0.02
396,2022-05-18,4.43,3.32
397,2022-05-19,3.26,-2.19
398,2022-05-20,1.71,1
399,2022-05-20,2.87,1.85
400,2022-05-20,2.05,-1.12
401,2022-05-20,1.53,0.73
402,2022-05-21,3.57,-0.55
403,2022-05-21,1.59,0.01
404,2022-05-21,4.53,0.49
405,2022-05-21,2.53,2.34
406,2022-05-21,2.34,-0.2
407,2022-05-22,2.16,-0.7
408,2022-05-22,1.73,0.4
409,2022-05-23,3.2,2.01
410,2022-05-24,1.72,1.08
411,2022-05-25,3.12,1.6
412,2022-05-25,2.1,-2.83
413,2022-05-25,3.32,1.81
414,2022-05-25,3.55,-0.14
415,2022-05-25,3.06,-0.84
416,2022-05-26,1.57,0.46
417,2022-05-26,1.85,1.11
418,2022-05-26,5.36,2.37
419,2022-05-27,4.64,-2.64
420,2022-05-27,2.87,-1.82
421,2022-05-27,3.8,-0.79
422,2022-05-27,2.03,-0.63
423,2022-05-28,3.5,0.73
424,2022-05-28,2.3,-0.78
425,2022-05-29,2.25,0.29
426,2022-05-30,2.97,1.13
427,2022-05-30,3.52,0.15
428,2022-05-30,2.47,-3.78
429,2022-05-30,2.45,2.03
430,2022-05-30,3.96,0.28
431,2022-05-31,4.8,1.7
432,2022-05-31,2.99,0.48
433,2022-05-31,2.02,0.06
434,2022-06-01,2.84,1.61
435,2022-06-01,3.53,1.37
436,2022-06-02,2.05,0.54
437,2022-06-02,2.41,-0.38
438,2022-06-02,4.21,2.05
439,2022-06-02,5.29,2.05
440,2022-06-02,2.03,-0.83
441,2022-06-03,2.59,-2.64
442,2022-06-03,3.11,1.63
443,2022-06-03,3.31,2.15
444,2022-06-04,2.95,2.19
445,2022-06-04,2.43,1.08
446,2022-06-04,3.89,1.71
447,2022-06-04,3.6,0.83
448,2022-06-05,3.03,0.17
449,2022-06-05,3.2,2.28
450,2022-06-06,2.39,1.45
451,2022-06-07,3.01,0.5
452,2022-06-07,3.56,-1.61
453,2022-06-07,2.12,-0.42
454,2022-06-08,3.14,1.36
455,2022-06-08,2.18,2.04
456,2022-06-08,4.32,1.29
457,2022-06-09,2.52,1.44
458,2022-06-09,2.41,1.21
459,2022-06-09,2.39,2.34
460,2022-06-09,3.56,2.09
461,2022-06-10,2.81,1.7
462,2022-06-10,2.59,1.3
463,2022-06-10,2.01,-1.57
464,2022-06-10,4.65,2.42
465,2022-06-11,3.73,-1.85
466,2022-06-11,3.42,-0.14
467,2022-06-11,2.73,0.18
468,2022-06-11,1.71,1.47
469,2022-06-12,2.67,1.76
470,2022-06-12,3.39,-0.07
471,2022-06-12,2.47,-0.65
472,2022-06-13,2.23,0.65
473,2022-06-14,4.54,-0.58
474,2022-06-15,1.94,0.48
475,2022-06-16,2.34,-3.79
476,2022-06-16,2.33,-0.89
477,2022-06-16,2.43,-0.85
478,2022-06-16,4.03,1.17
479,2022-06-16,1.93,-0.61
480,2022-06-17,2.98,-0.5
481,2022-06-17,2.81,0.43
482,2022-06-17,4.67,3.42
483,2022-06-17,4.06,0.03
484,2022-06-18,2.66,-1.26
485,2022-06-19,4.18,0.51
486,2022-06-19,2.33,-0.55
487,2022-06-19,2.14,1.21
488,2022-06-19,4.22,0.79
489,2022-06-19,3.31,0.36
490,2022-06-20,1.88,-1.9
491,2022-06-20,3.7,-0.01
492,2022-06-20,2.79,-2.95
493,2022-06-20,2.87,-0.37
494,2022-06-21,4.64,-0.9
495,2022-06-22,2.83,0.6
496,2022-06-23,2.97,-0.87
497,2022-06-24,2.7,1.25
498,2022-06-24,3.57,1.65
499,2022-06-24,3.75,2.97
500,2022-06-24,97.26,23.14
501,2022-06-25,3.25,-1.62
502,2022-06-25,2.84,2.68
503,2022-06-26,0,0
504,2022-06-26,4.41,1.74
505,2022-06-26,4.39,1
506,2022-06-27,3.94,0.02
507,2022-06-27,2.88,-0.32
508,2022-06-27,4.26,0.66
509,2022-06-27,4.56,0.43
510,2022-06-27,3.53,1.15
511,2022-06-28,3.26,2.85
512,2022-06-28,1.88,-1.39
513,2022-06-28,5.17,3.47
514,2022-06-28,3.57,1.81
515,2022-06-28,3.73,-0.81
516,2022-06-29,4.46,0.43
517,2022-06-29,3.22,3.01
518,2022-06-29,2.55,0.92
519,2022-06-29,3.1,0.4
520,2022-06-30,2.48,-3.08
521,2022-07-01,4.05,-2.65
522,2022-07-01,3.12,1.98
523,2022-07-01,3.23,1.35
524,2022-07-02,3.05,2.6
525,2022-07-02,4.65,4.25
526,2022-07-02,2.34,0.16
527,2022-07-02,3.2,2.72
528,2022-07-03,2.16,-0.5
529,2022-07-03,3.36,2.44
530,2022-07-03,3.38,0.9
531,2022-07-03,3.78,2.62
532,2022-07-03,3.41,-1.03
533,2022-07-04,4.12,1.05
534,2022-07-04,55.45,12.13
535,2022-07-05,3.51,1.2
536,2022-07-06,5.11,0.07
537,2022-07-07,4.38,0.39
538,2022-07-08,5.27,0.36
539,2022-07-08,4.23,0.43
540,2022-07-08,2.96,-0.82
541,2022-07-09,3.52,-0.44
542,2022-07-09,2.1,0.01
543,2022-07-10,3.66,3.25
544,2022-07-10,3.32,0.8
545,2022-07-10,4.66,2.42
546,2022-07-10,4.05,3.3
547,2022-07-10,4.81,-0.3
548,2022-07-11,6.86,1.18
549,2022-07-11,2.71,1.6
550,2022-07-11,3.37,2.12
551,2022-07-11,3.42,0.38
552,2022-07-12,2.94,1.27
553,2022-07-12,5.83,1.62
554,2022-07-12,2.65,-0.27
555,2022-07-12,3.3,-3.6
556,2022-07-13,3.88,2.24
557,2022-07-13,3.7,2.3
558,2022-07-13,3.42,2.54
559,2022-07-13,3.28,0.38
560,2022-07-13,3.55,1.73
561,2022-07-14,3,0.81
562,2022-07-15,3.06,-5.12
563,2022-07-15,4.61,3.16
564,2022-07-15,5.48,0
565,2022-07-15,2.67,-1.32
566,2022-07-16,3.48,0.03
567,2022-07-17,4.39,-1.13
568,2022-07-18,3.91,-0.25
569,2022-07-18,5.55,3.88
570,2022-07-18,3.01,-0.14
571,2022-07-18,3.15,2.02
572,2022-07-18,4.14,1.9
573,2022-07-19,3.22,-2.6
574,2022-07-19,6.46,-2.38
575,2022-07-19,3.1,-3.71
576,2022-07-20,3.99,-1.39
577,2022-07-21,4.76,-3.12
578,2022-07-21,2.66,-0.07
579,2022-07-22,5.01,-1.3
580,2022-07-22,2.39,-3.37
581,2022-07-22,2.77,-1.78
582,2022-07-22,6.82,0.62
583,2022-07-23,4.97,0.8
584,2022-07-23,2.8,-1.9
585,2022-07-24,2.02,0.31
586,2022-07-24,1.7,1.12
587,2022-07-24,6.47,3.39
588,2022-07-24,5.4,1.14
589,2022-07-24,2.9,0.75
590,2022-07-25,2.46,-1.78
591,2022-07-25,6.6,3.11
592,2022-07-25,4.76,-1.12
593,2022-07-25,3,1.82
594,2022-07-25,3.52,0.27
595,2022-07-26,5.8,-1.93
596,2022-07-26,4.92,0.14
597,2022-07-26,2.65,1.57
598,2022-07-27,4.05,-0.29
599,2022-07-27,5.03,2.75
600,2022-07-27,4.68,-0.81
601,2022-07-27,4.8,1.05
602,2022-07-27,3.14,-2.54
603,2022-07-28,4.42,-0.19
604,2022-07-28,6.62,-0.07
605,2022-07-29,2.29,-0.58
606,2022-07-30,2.59,0.14
607,2022-07-31,5.8,2.06
608,2022-08-01,6.52,0.4
609,2022-08-01,5.81,2.84
610,2022-08-01,5.12,-0.53
611,2022-08-02,4.18,1.96
612,2022-08-02,3.77,-0.1
613,2022-08-02,5.41,5.14
614,2022-08-02,2.47,0.47
615,2022-08-03,6.18,2.98
616,2022-08-03,3.61,2.58
617,2022-08-04,5.79,0.45
618,2022-08-04,3.45,2.01
619,2022-08-05,6.6,-0.11
620,2022-08-05,3.76,3.21
621,2022-08-06,3.36,2.57
622,2022-08-06,4.66,1.07
623,2022-08-07,3.23,0.17
624,2022-08-07,4.01,-1.94
625,2022-08-07,6.09,2.14
626,2022-08-07,2.34,2.19
627,2022-08-08,2.98,-1.35
628,2022-08-08,4.03,2.33
629,2022-08-08,6.67,3.14
630,2022-08-08,4.92,4.87
631,2022-08-09,3.14,-0.87
632,2022-08-09,4.21,1.82
633,2022-08-09,4.33,-3.23
634,2022-08-09,3.75,1.18
635,2022-08-09,3.96,2.39
636,2022-08-10,2.87,-0.41
637,2022-08-11,4.32,2.17
638,2022-08-11,2.9,0.65
639,2022-08-11,5.2,2.1
640,2022-08-12,2.74,0.74
641,2022-08-12,5.25,4.68
642,2022-08-12,5.71,-0.19
643,2022-08-12,5.54,4.05
644,2022-08-12,8.57,4.4
645,2022-08-13,2.23,-2.69
646,2022-08-13,3.13,0.11
647,2022-08-13,2.28,-1.85
648,2022-08-13,3.97,3.03
649,2022-08-14,2.72,-2.36
650,2022-08-14,4.3,1.22
651,2022-08-15,3.91,1.25
652,2022-08-15,2.09,-2.27
653,2022-08-16,4.51,1.39
654,2022-08-17,5.8,0.25
655,2022-08-17,3.29,2.83
656,2022-08-17,2.56,-2.08
657,2022-08-18,5.64,-0.69
658,2022-08-18,4.25,2.06
659,2022-08-18,6.18,1.36
660,2022-08-18,3.32,0.23
661,2022-08-19,3.17,-1.32
662,2022-08-19,5.54,2.25
663,2022-08-20,6.25,0.43
664,2022-08-21,2.79,0.24
665,2022-08-21,4.81,1.73
666,2022-08-22,4.69,4.57
667,2022-08-22,4.38,1.08
668,2022-08-22,4.26,-1.15
669,2022-08-23,3.41,0.04
670,2022-08-24,3.48,-1.17
671,2022-08-24,2.71,1.73
672,2022-08-24,10.11,0.95
673,2022-08-25,5.93,0.69
674,2022-08-25,4.38,1.15
675,2022-08-25,5.57,0.11
676,2022-08-26,3.48,0.63
677,2022-08-26,4.79,-0.29
678,2022-08-26,3.85,1.39
679,2022-08-26,4.56,0.8
680,2022-08-27,4.33,2.24
681,2022-08-27,3.45,-1.62
682,2022-08-27,5.19,0.96
683,2022-08-27,5.3,0.44
684,2022-08-27,3.38,1.93
685,2022-08-28,3.54,1.06
686,2022-08-28,4.71,1.24
687,2022-08-28,2.93,0.48
688,2022-08-28,4.3,1.36
689,2022-08-29,3.48,0.98
690,2022-08-29,3.18,0.12
691,2022-08-30,3.28,2.61
692,2022-08-31,2.62,2.23
693,2022-08-31,3.4,0.96
694,2022-08-31,3.83,1.56
695,2022-09-01,5.29,2.06
696,2022-09-02,3.06,0.26
697,2022-09-02,6.52,1.75
698,2022-09-02,4.97,1.12
699,2022-09-03,3.34,-0.95
700,2022-09-03,8.32,2.34
701,2022-09-03,2.76,-1.64
702,2022-09-03,5.99,-0.32
703,2022-09-03,2.86,0.89
704,2022-09-04,5.05,4.2
705,2022-09-04,4.33,2.39
706,2022-09-04,3.53,0.03
707,2022-09-04,3.22,2.47
708,2022-09-05,4.53,-0.85
709,2022-09-05,4.22,-2.89
710,2022-09-05,4.97,0.7
711,2022-09-05,5.01,2.47
712,2022-09-05,6.36,2.28
713,2022-09-06,6.65,3.07
714,2022-09-07,3.1,-1.99
715,2022-09-07,6.74,0.39
716,2022-09-08,4.12,3.54
717,2022-09-08,4.87,1.4
718,2022-09-09,4.65,1.03
719,2022-09-09,4.38,1.66
720,2022-09-09,3.7,3
721,2022-09-09,3.8,-3.32
722,2022-09-10,6.69,-1.52
723,2022-09-10,9.26,3.85
724,2022-09-10,5.81,5.06
725,2022-09-10,5.71,1.2
726,2022-09-10,4.14,0.01
727,2022-09-11,3.05,0.69
728,2022-09-11,4.41,-0.35
729,2022-09-11,4.43,-0.57
730,2022-09-12,4.49,-1.37
731,2022-09-12,4.29,1.99
732,2022-09-13,6.51,1.87
733,2022-09-14,6.89,-0.3
734,2022-09-15,5.8,1.1
735,2022-09-15,3.49,1.81
736,2022-09-15,4.5,-0.52
737,2022-09-15,6.69,-0.56
738,2022-09-15,5.26,1.58
739,2022-09-16,3.55,1.9
740,2022-09-16,3.98,-0.88
741,2022-09-17,3.24,-2.97
742,2022-09-17,5.65,2.38
743,2022-09-17,3.72,-0.13
744,2022-09-18,5.88,4.87
745,2022-09-18,6.56,1.86
746,2022-09-19,5.78,3.57
747,2022-09-19,3.9,1.78
748,2022-09-19,3.19,0.63
749,2022-09-20,3.49,3.16
750,2022-09-20,4.53,2.43
751,2022-09-20,3.98,0.9
752,2022-09-21,6.13,3.89
753,2022-09-21,4.43,4.06
754,2022-09-21,2.34,1.19
755,2022-09-21,5.73,3.33
756,2022-09-22,7.71,0.19
757,2022-09-22,3.82,2.55
758,2022-09-22,4.94,1.73
759,2022-09-22,4.12,3.74
760,2022-09-22,3.18,1
761,2022-09-23,3.84,0.98
762,2022-09-23,4.25,-1.53
763,2022-09-23,3.98,2.61
764,2022-09-23,4.87,2.26
765,2022-09-24,2.98,0.91
766,2022-09-24,5.99,1.95
767,2022-09-24,3.42,0.49
768,2022-09-24,4.23,1.06
769,2022-09-24,5.14,3.07
770,2022-09-25,5.7,3.3
771,2022-09-25,2.86,-0.97
772,2022-09-25,3.43,-1.44
773,2022-09-25,4.23,2.14
774,2022-09-26,3.06,-1.55
775,2022-09-26,4.79,1.1
776,2022-09-26,4.22,1.77
777,2022-09-27,8.23,3.05
778,2022-09-27,2.86,1.39
779,2022-09-28,4.19,1.21
780,2022-09-29,3.13,1.82
781,2022-09-29,3.52,3.19
782,2022-09-29,7.04,1.99
783,2022-09-30,2.98,1.62
784,2022-09-30,6.67,2.12
785,2022-09-30,4.07,3.62
786,2022-09-30,5.54,4.2
787,2022-10-01,3.3,-0.57
788,2022-10-02,5.94,5.45
789,2022-10-02,6.32,3.61
790,2022-10-02,3.01,0.34
791,2022-10-02,6.18,-0.64
792,2022-10-02,4.26,1.6
793,2022-10-03,6.99,5.69
794,2022-10-03,3.91,1.58
795,2022-10-03,4.92,0.02
796,2022-10-03,3.79,1.78
797,2022-10-04,5.25,0.17
798,2022-10-04,6.39,0.68
799,2022-10-04,5.71,0.84
800,2022-10-04,3.39,0.02
801,2022-10-04,6.63,0.25
802,2022-10-05,4.03,1.24
803,2022-10-05,4.99,1.7
804,2022-10-05,6.83,0.51
805,2022-10-05,5.12,0.31
