Segment,Price,PromoSpend,Usage,Tenure,SupportTickets,CompetitorPrice,Region
A,12.1379,4.7352,0.743,45,3,14.6513,South
C,9.547,38.5551,0.7386,30,2,13.4551,South
C,16.4258,17.5308,0.1132,33,0,15.756,North
C,11.1276,5.0909,0.6704,14,0,12.7967,East
B,15.4975,82.0668,0.6658,24,2,19.1415,South
C,20.3681,60.5751,0.657,43,1,16.3246,West
B,8.6894,110.7243,0.2528,5,0,10.5921,West
A,17.3841,13.1351,0.2226,16,0,16.3531,South
A,18.9768,18.8294,0.5547,28,2,13.5771,West
C,12.8431,38.2296,0.2435,26,0,16.4072,West
C,21.9695,63.1136,0.6239,48,1,16.6459,North
B,16.1798,29.7115,0.1473,23,1,12.5736,North
A,11.4803,11.5931,0.2812,16,2,18.6959,East
C,10.2542,65.0683,0.4563,21,1,16.9728,East
B,21.2397,11.4655,0.6036,38,1,15.6078,West
C,13.0468,5.2063,0.8211,16,0,15.418,West
B,17.5547,21.2507,0.4233,23,0,11.8397,North
C,8.3974,68.0296,0.45,30,0,16.1415,East
B,10.9147,120.0,0.369,8,1,14.0664,West
B,9.8863,14.0709,0.4103,11,1,12.4573,East
A,20.6857,18.9073,0.3217,31,1,11.5412,South
A,20.4647,24.3725,0.374,29,1,17.2422,South
A,17.4067,45.4468,0.148,44,1,15.6729,North
B,14.9117,27.643,0.0259,5,0,16.3493,North
C,13.6088,49.6493,0.4046,37,1,16.7697,West
B,11.5119,92.5498,0.4273,28,1,11.9804,East
A,21.1524,9.4613,0.6354,37,0,14.8767,East
B,9.2278,44.1847,0.0372,2,0,12.1077,East
B,12.0276,68.0481,0.2433,20,0,13.4086,West
C,13.0719,47.1841,0.5163,37,0,10.8147,East
C,18.5505,39.7238,0.4962,36,0,12.3101,West
B,13.6137,41.837,0.7413,16,1,16.3239,South
B,10.6205,29.6917,0.3613,13,1,17.2347,North
B,18.5455,28.859,0.5134,20,1,13.9686,West
A,9.196,46.1529,0.1663,34,3,13.0639,East
A,21.9216,51.1975,0.7103,7,2,18.0312,South
C,10.7288,22.7724,0.3039,31,1,16.7062,West
C,13.8121,16.0455,0.4679,18,1,15.0565,North
A,20.9502,20.0515,0.1984,11,1,12.4318,West
C,9.5697,12.3255,0.6457,40,0,16.4135,East
C,16.5358,51.1084,0.9332,25,0,12.5507,East
C,15.3442,27.1425,0.223,36,0,17.6087,North
B,15.2085,25.9749,0.3512,27,1,21.4256,North
B,17.3332,49.1793,0.4455,18,0,13.1472,East
A,18.335,8.9016,0.1816,48,5,13.6997,North
C,9.8189,18.6904,0.4444,37,1,17.2455,East
B,13.9211,70.5994,0.28,37,0,14.6107,West
A,18.9836,20.5778,0.6099,24,2,13.2564,East
B,19.7188,10.6487,0.502,45,1,13.0324,East
C,21.3831,89.2022,0.5728,37,0,17.5174,North
B,13.5936,24.1206,0.3093,17,2,16.2639,East
A,14.7378,29.9241,0.2033,1,0,13.3444,South
A,20.9096,77.7014,0.2283,34,1,15.7005,South
A,16.9258,31.4649,0.5153,44,1,11.7867,South
A,20.4007,65.266,0.1403,36,2,17.4104,North
C,10.0422,34.4466,0.7192,10,1,16.3071,North
C,8.4234,23.8198,0.5901,28,1,16.1754,West
B,13.3992,63.8049,0.3504,31,0,13.8425,South
B,15.4972,52.1526,0.4185,35,0,19.2218,East
B,15.4056,35.493,0.2995,42,1,15.9506,South
B,17.6814,6.2405,0.4061,24,2,17.6711,North
B,17.802,19.1273,0.6917,3,0,15.536,South
B,11.3683,9.1078,0.4221,44,0,14.178,East
A,16.9024,39.1876,0.1622,45,1,13.9935,South
B,12.4056,10.2245,0.5071,30,1,14.7868,East
A,19.5788,25.6283,0.2476,21,0,14.27,South
B,21.0191,42.7163,0.7581,10,1,16.719,West
A,18.8189,17.9094,0.5757,22,1,12.0792,West
A,11.509,93.7788,0.1186,15,1,15.9964,East
C,12.6256,42.3835,0.4254,37,0,15.4712,West
A,21.2436,44.3639,0.1518,41,1,13.4891,South
C,10.9482,32.9352,0.5612,25,0,13.1016,West
B,14.0696,75.1743,0.2975,11,0,15.3795,South
C,8.1306,45.7195,0.9338,35,2,13.0597,North
A,20.5293,45.6867,0.2542,17,0,16.8221,West
B,13.8238,115.9646,0.371,29,1,15.9782,South
A,21.1656,33.1941,0.5745,45,2,15.7506,East
C,8.7438,88.0327,0.4904,1,1,16.1414,North
B,20.0314,55.5373,0.4446,31,0,14.7121,North
C,15.2263,7.9213,0.8649,47,1,16.7563,North
C,19.0202,57.021,0.6713,29,1,16.187,North
B,10.7789,2.6557,0.3637,36,2,15.1461,West
C,9.1698,9.1386,0.6217,32,1,13.1903,North
C,19.047,77.0316,0.6878,33,0,16.1045,West
C,8.3374,104.8175,0.6323,45,2,13.121,West
B,16.7886,40.8952,0.4562,19,0,13.6057,West
B,17.6099,18.1725,0.2143,37,0,14.9877,West
B,18.8993,6.531,0.7646,12,0,16.4407,West
C,14.2267,15.5809,0.7648,7,1,18.0667,North
C,19.7095,27.8541,0.517,47,0,14.5444,North
C,20.6795,53.0288,0.7777,17,2,11.185,North
A,18.3392,11.5872,0.2611,19,0,17.2431,South
A,12.3834,30.1867,0.3966,2,2,16.3122,South
B,18.824,21.72,0.5622,24,0,17.0567,South
C,11.7675,46.4142,0.9077,6,1,15.9029,North
B,10.8984,68.1313,0.4246,42,1,10.3119,South
A,14.5553,44.4415,0.3467,18,0,12.6449,South
A,20.2298,60.9278,0.3442,3,0,19.5793,East
A,18.4109,29.0255,0.3755,12,1,14.9668,South
C,11.274,22.0768,0.5494,25,0,16.2807,West
A,11.4143,22.4997,0.2774,19,1,13.0139,East
A,18.2325,58.0419,0.1963,15,1,15.9042,East
C,10.9217,62.0756,0.382,25,1,12.6097,East
C,15.2709,26.6625,0.5575,40,0,16.2544,West
A,21.3585,10.7852,0.3088,9,0,14.7149,South
A,19.8202,75.7047,0.4901,24,1,15.0897,South
C,16.0156,46.9307,0.6577,27,1,14.5172,West
A,18.4733,42.344,0.1928,26,0,17.485,South
A,21.6982,69.348,0.4936,31,4,13.9729,West
A,20.8348,27.155,0.7306,4,1,16.9599,South
C,20.3142,40.7594,0.6456,42,0,13.5064,East
B,21.9733,23.9899,0.7876,44,1,17.0794,South
A,17.873,36.3411,0.2376,21,0,13.5684,East
A,20.6678,62.3149,0.4007,4,0,14.0169,East
A,20.7566,35.6342,0.7449,4,0,12.5775,South
A,17.8065,29.2953,0.6016,11,1,17.0988,East
B,8.2237,25.7488,0.4183,25,1,15.4615,South
A,20.7392,38.2572,0.4856,2,1,16.0814,West
A,18.2049,28.4562,0.6307,37,0,13.1588,South
A,19.9904,120.0,0.0437,3,0,13.258,North
B,8.8706,23.1674,0.2267,24,0,12.707,South
A,16.2513,58.77,0.5939,30,0,16.1157,South
C,10.9163,49.9924,0.4829,24,0,16.3523,West
B,10.2282,6.7046,0.1283,23,0,13.9625,West
A,18.1354,21.6564,0.0954,1,3,17.4951,South
B,13.2344,6.4737,0.1366,8,0,14.4991,East
C,8.9592,75.4689,0.7754,31,0,13.8254,West
C,11.8909,42.8827,0.23,47,0,14.6632,South
C,13.7306,89.065,0.7009,18,1,15.3669,East
C,16.3735,29.3246,0.763,8,0,15.5911,North
C,11.9045,21.3182,0.7282,25,0,14.0693,East
B,12.0567,28.7452,0.623,3,0,13.8842,East
B,15.0118,8.067,0.3851,21,0,14.6472,West
C,15.7293,18.253,0.7508,36,0,14.0885,North
B,20.813,27.1132,0.5645,39,0,18.2947,East
A,14.6348,57.4873,0.1538,23,2,15.5661,West
C,13.4874,19.012,0.6359,34,0,15.1827,East
A,15.6481,36.2736,0.2208,22,0,13.4002,South
B,12.5672,119.8011,0.5299,2,0,12.2035,South
C,17.0691,37.4107,0.7558,36,1,14.905,North
B,15.7573,87.5018,0.1764,47,1,15.2831,West
B,10.8388,34.9074,0.475,4,1,16.2468,North
C,14.5732,7.1974,0.8631,3,0,14.8889,North
A,15.4439,22.238,0.1526,17,2,18.6976,South
C,11.8005,43.6161,0.5171,32,2,15.0346,North
C,18.1925,98.7969,0.4981,47,0,14.9602,East
A,12.6518,34.8095,0.038,20,1,12.6361,East
B,11.7173,35.6856,0.8204,11,2,17.6418,South
B,13.6433,76.1396,0.5821,13,0,11.8668,West
B,15.2907,23.7624,0.6167,28,1,14.0225,East
B,17.5042,36.1909,0.7019,35,1,15.4573,South
A,19.3957,49.5796,0.8113,41,3,12.7042,South
C,13.4619,95.127,0.7012,32,0,15.5254,North
B,10.8075,52.1189,0.2583,14,0,14.4955,North
A,20.7294,31.8331,0.4281,30,1,14.7391,West
A,19.9623,43.5339,0.4498,3,1,15.569,East
C,9.2966,26.427,0.4059,44,1,19.1885,South
B,15.1007,67.2983,0.5754,21,2,15.4691,West
B,21.9533,33.4642,0.4598,35,0,17.146,North
A,16.4659,51.5517,0.3761,7,1,17.2756,South
A,17.0044,57.7943,0.3728,11,1,13.753,West
A,21.5369,62.4938,0.365,33,4,16.3386,West
B,16.9772,25.6892,0.7724,38,3,15.5442,West
C,9.5584,27.1361,0.1001,38,1,13.8087,North
C,9.4321,91.826,0.5092,2,0,13.9841,South
B,11.6886,17.1591,0.6721,16,1,12.3633,East
A,8.2287,18.8947,0.4276,1,2,13.9072,South
A,19.7672,27.149,0.7407,9,1,14.0135,South
A,21.5287,43.8049,0.1488,5,0,12.5708,South
A,12.5101,20.2703,0.3232,11,0,12.1506,West
B,14.2691,5.136,0.4452,13,1,15.6765,West
B,20.9179,44.2708,0.6883,14,1,11.5959,West
A,20.0563,32.534,0.4163,9,4,13.9985,North
C,14.866,66.1879,0.5337,12,1,19.1919,West
B,15.9187,55.3318,0.5446,22,2,18.5771,East
B,12.3487,28.2241,0.093,15,0,11.0942,West
B,19.7502,7.9875,0.4856,27,1,17.6602,North
A,15.8783,46.2856,0.4834,17,0,11.7058,East
A,20.9966,14.996,0.3995,28,0,15.013,East
A,14.761,36.8202,0.3903,29,1,14.8568,East
A,15.5106,38.5135,0.1612,45,0,15.4793,South
A,16.4223,26.3396,0.3274,22,2,10.5573,West
B,18.6238,21.817,0.446,20,0,12.6975,East
B,15.8023,4.3938,0.3468,32,0,16.2078,South
C,14.8739,98.5357,0.4612,36,0,13.351,West
C,11.2798,16.1799,0.3327,21,0,14.81,East
B,13.723,5.1488,0.3909,16,2,16.9125,North
C,10.8562,61.1624,0.6662,42,2,16.3255,South
A,19.0407,23.957,0.1194,16,1,12.2865,North
B,20.0303,37.2985,0.7777,16,0,17.3556,East
A,19.2311,29.3928,0.37,19,1,15.5371,West
B,8.22,12.3364,0.2201,35,1,17.503,South
B,12.9787,41.5947,0.3818,48,0,11.4294,West
C,8.0236,18.5901,0.3605,8,1,14.6687,North
C,15.0036,82.1191,0.8825,13,1,16.617,South
A,18.8521,120.0,0.2928,41,3,18.4166,West
B,12.2855,33.9342,0.6869,43,3,14.2762,East
C,20.6571,23.6896,0.9612,32,1,12.803,North
A,14.8269,39.2016,0.3352,28,0,15.1941,South
B,17.063,64.2671,0.4865,38,0,19.6114,West
C,12.3631,43.8398,0.3983,13,1,13.0632,North
C,14.9796,51.7104,0.6163,37,3,15.7826,North
A,18.7633,23.8449,0.3445,13,0,11.6555,North
C,12.7443,61.8705,0.2413,48,2,14.8228,West
B,15.6759,28.2167,0.6264,14,0,15.5115,West
C,14.5776,25.9466,0.6071,17,0,17.4931,West
C,12.6268,23.2252,0.6812,10,0,15.8272,South
A,20.1834,39.0809,0.1866,11,0,17.0465,West
A,21.9208,5.2487,0.3705,39,2,15.3549,South
A,20.1447,49.9598,0.4889,36,2,13.8696,South
A,20.8029,8.8324,0.2598,12,0,13.4924,West
C,16.0272,40.2551,0.8517,12,1,14.9651,West
A,16.3054,8.3811,0.6405,4,0,13.3688,East
B,16.0385,18.9508,0.5691,30,0,16.948,South
C,8.6788,86.9229,0.6214,27,1,15.4235,East
C,9.6853,28.8192,0.1717,38,0,19.9936,North
A,16.6402,89.8764,0.3491,2,3,14.7954,West
B,15.4783,94.5861,0.4525,19,1,11.5247,West
B,14.0178,37.7529,0.627,44,0,11.6192,East
B,19.6821,9.5323,0.5508,41,0,13.8434,East
A,17.3408,9.0397,0.2603,29,2,16.7014,North
B,18.5744,76.1099,0.629,18,1,14.8036,East
B,19.1207,4.0331,0.5467,40,0,18.5814,West
C,12.8162,37.3938,0.7227,7,2,17.7838,North
B,19.7184,48.717,0.4081,33,0,16.7196,East
A,18.2904,26.6052,0.2132,13,1,15.1662,North
B,12.3912,37.2073,0.5062,9,0,13.3016,East
A,20.5912,38.416,0.5912,15,0,12.7792,East
B,17.6089,55.5716,0.408,28,0,10.9853,North
C,9.784,20.9139,0.389,32,1,16.5118,West
A,21.5915,51.5931,0.3394,38,2,15.6681,North
B,17.4303,71.5202,0.4485,45,0,19.1557,East
A,20.1679,26.5799,0.0633,35,2,13.6917,North
C,13.5919,14.2224,0.6568,7,1,19.8642,North
B,12.4742,56.7854,0.1944,32,0,12.9096,North
B,19.5234,4.8028,0.9172,25,0,12.1045,East
B,18.3011,71.4342,0.3208,11,0,15.04,North
C,12.5307,63.5613,0.4616,26,0,15.0002,West
C,18.1464,25.6378,0.535,43,0,14.1616,West
B,13.364,37.4436,0.4678,22,2,18.4058,South
C,9.5975,6.8269,0.7477,30,3,18.244,North
A,20.2094,19.6764,0.2227,14,0,11.4962,West
B,12.6523,20.5099,0.3203,23,2,14.9001,West
C,12.1007,61.5286,0.2656,17,0,16.3407,North
B,8.8735,16.0885,0.8429,5,1,16.6092,South
B,10.3073,33.038,0.1612,27,1,14.8258,South
B,15.7859,39.6188,0.073,37,0,18.9032,East
C,12.2565,111.9859,0.3289,44,1,16.265,East
C,10.0743,36.4625,0.2632,24,0,15.7377,North
A,16.2693,28.4388,0.2947,6,1,12.3336,West
B,12.577,58.849,0.0753,29,0,13.7602,East
A,19.6172,17.4548,0.1333,11,1,13.7529,East
B,15.2703,12.1265,0.4416,25,0,11.2609,East
C,14.2544,14.6708,0.7913,28,0,13.535,East
B,15.0216,43.3812,0.5489,32,1,13.9823,East
C,8.2207,16.5234,0.6164,31,1,16.245,East
B,13.6688,23.2556,0.4241,24,2,13.5564,East
C,18.3858,14.7961,0.5442,47,0,15.8204,North
A,17.9069,13.3512,0.1826,12,3,17.8476,East
B,19.526,43.9211,0.5376,14,0,16.17,West
A,21.6282,13.3321,0.2469,46,5,18.6959,East
B,21.0393,45.0679,0.3712,34,1,14.8708,North
C,15.9791,61.2789,0.5773,40,1,13.1816,North
C,19.7962,38.1211,0.7726,48,1,14.3554,West
C,11.8162,31.2568,0.3408,15,1,16.9258,North
C,10.5929,32.7861,0.4322,9,0,13.673,North
B,18.4234,100.9643,0.4843,34,1,17.2261,West
B,16.9224,41.6049,0.3583,38,1,14.5897,West
B,8.2005,34.5773,0.4622,34,4,15.9492,West
B,10.0977,76.3724,0.1609,15,0,14.0853,East
A,21.2046,31.2529,0.3725,3,1,16.5162,South
B,18.4999,17.7696,0.3856,40,2,17.2853,North
B,9.3213,53.8153,0.1899,47,0,14.6901,South
B,14.92,35.2261,0.2739,8,2,17.9891,North
B,13.6787,12.584,0.4995,2,0,17.529,North
A,18.8707,32.0434,0.0605,42,1,14.9534,East
B,19.8044,37.1096,0.2879,36,0,14.206,North
B,16.8766,16.7848,0.6951,32,1,15.0707,South
B,12.5268,86.4154,0.5029,14,2,14.1051,North
B,14.0572,38.6552,0.1483,44,1,11.7939,West
C,8.92,35.0126,0.2044,26,0,13.2974,West
B,12.4111,13.2599,0.2955,47,1,16.9426,East
B,13.4441,21.6506,0.6675,16,0,12.7338,West
B,17.7165,28.7402,0.4913,14,1,15.1018,West
A,20.3707,70.937,0.4701,18,0,13.1091,West
A,21.4931,54.8912,0.3596,41,2,17.7874,North
A,21.1796,28.1378,0.6007,13,1,17.9742,East
C,15.595,40.4301,0.5465,5,0,14.683,West
B,17.9056,22.8743,0.5474,34,0,14.2773,East
B,17.5692,18.4192,0.3083,42,1,15.1615,West
A,20.132,25.6329,0.3449,27,2,16.5277,South
B,18.9965,45.8021,0.4355,42,2,15.7799,North
B,17.9002,31.9025,0.5825,11,1,14.0144,West
B,13.6457,39.141,0.6622,9,2,15.1013,West
C,9.2892,25.2274,0.5927,31,0,14.0923,West
B,14.3457,15.2159,0.6699,11,1,14.1361,North
C,8.392,38.4868,0.4148,32,0,15.2987,North
A,21.0345,115.2903,0.2079,47,0,15.2657,South
A,17.6909,41.0858,0.2415,1,1,17.6443,North
B,14.3787,68.8986,0.282,1,0,13.5668,West
B,11.8287,39.6776,0.695,20,1,15.9912,South
A,20.8876,43.6229,0.3992,39,1,15.3935,West
B,17.3003,29.6535,0.2897,27,0,15.9769,East
C,13.376,33.862,0.1154,31,0,15.7671,West
B,16.6173,42.2717,0.3144,19,0,16.5815,West
B,17.0315,28.33,0.282,11,0,18.2941,West
B,13.617,49.7514,0.417,43,2,15.2148,South
A,20.615,22.4337,0.4863,10,3,15.8578,West
A,14.0146,54.6523,0.07,17,2,15.971,West
A,18.8386,5.7337,0.7926,29,1,14.459,South
A,15.3632,6.4088,0.5417,13,1,15.4972,East
B,20.4158,4.7582,0.4444,2,0,14.2339,North
B,13.6473,11.6163,0.9441,20,1,15.6285,West
A,8.9685,53.0775,0.3165,4,1,13.1297,South
A,21.2248,42.6184,0.3345,19,0,15.4832,East
C,8.2954,120.0,0.381,11,1,16.3618,South
B,10.1361,17.5783,0.622,10,1,16.3048,East
A,13.7225,22.9622,0.5486,25,2,19.5616,South
C,10.2569,34.9925,0.9171,35,1,11.6876,East
B,17.8254,16.6288,0.4017,33,2,15.4134,North
C,12.1602,21.7961,0.3053,39,0,15.8888,South
C,9.1447,12.0425,0.7565,15,0,15.7345,East
B,17.9207,12.1208,0.6371,9,1,16.2266,North
A,8.2375,28.7423,0.513,26,2,16.2874,South
C,9.3727,97.5349,0.7673,24,1,17.4358,North
A,11.2311,65.3258,0.2887,6,2,12.7317,North
B,8.0024,31.1801,0.4494,11,2,18.4409,North
B,13.3425,37.0091,0.7393,46,0,15.6716,South
B,14.5684,84.3696,0.4402,9,1,13.9255,North
C,21.6512,35.5204,0.7131,18,0,15.8647,North
A,18.6235,90.0074,0.0778,45,0,14.3773,North
A,20.5824,34.8982,0.3743,40,1,14.1156,South
A,18.4232,55.1541,0.3103,29,2,18.3538,East
B,13.5387,9.1276,0.3868,1,2,16.4116,West
C,18.6454,85.9487,0.7221,42,1,13.6657,East
A,21.6817,32.1237,0.4005,29,1,15.8598,West
B,12.6234,35.7114,0.5651,34,2,11.0978,East
B,16.328,6.1515,0.2057,31,1,12.7943,North
B,20.7265,66.6817,0.3147,42,0,14.1754,North
C,9.595,25.1879,0.6595,5,0,13.4379,West
B,17.1556,7.1482,0.2552,42,0,11.9938,West
A,15.8775,30.2865,0.1424,31,1,13.8105,West
C,10.8876,14.9391,0.2583,32,1,19.1139,North
B,9.6162,97.3284,0.0525,11,0,15.0851,East
B,15.09,53.4036,0.684,28,3,11.9636,South
A,17.3466,89.2342,0.363,26,4,9.887,West
C,8.2167,78.8261,0.7484,39,0,14.2812,South
C,12.5538,35.6216,0.3507,11,0,13.661,North
B,11.562,28.5752,0.5273,29,2,10.1451,East
C,10.6704,120.0,0.2994,1,0,14.6295,West
A,19.8125,32.5012,0.6026,15,0,14.6856,South
C,15.523,43.3014,0.6404,12,1,17.0895,North
C,14.606,4.9816,0.3234,32,0,15.9264,West
C,9.7737,57.6843,0.6398,38,0,16.0681,East
A,20.4551,8.884,0.6064,25,0,10.895,North
B,19.8996,25.2238,0.576,46,0,12.5183,North
A,8.6558,34.2556,0.2608,18,1,15.2594,South
B,14.4171,32.4673,0.2056,22,1,13.579,East
B,15.2925,21.3882,0.1778,21,0,15.1917,West
C,10.8886,32.8483,0.2888,47,0,15.5789,West
B,15.799,5.1529,0.6711,46,1,16.0732,West
B,14.2758,50.3971,0.2891,47,2,14.3968,West
A,21.0565,44.1444,0.283,32,1,11.5325,East
C,20.5387,102.6467,0.6889,30,3,16.2259,North
A,15.8959,26.5316,0.3461,2,2,17.0254,East
B,19.4817,4.566,0.5083,26,0,16.8411,West
B,11.7164,5.9555,0.4205,17,0,16.2839,South
B,17.5915,32.4651,0.6034,35,1,13.3207,East
A,21.1159,82.9211,0.3847,11,1,12.8178,East
C,11.9916,64.1255,0.3767,17,0,16.6536,West
A,18.2093,6.7753,0.1786,4,1,16.0823,East
B,15.9588,91.3459,0.2488,48,2,13.6753,West
C,12.8475,62.3185,0.6533,41,3,11.3039,North
C,9.376,22.2814,0.3459,13,0,17.011,North
C,15.8378,26.7639,0.8316,2,0,14.1852,North
C,12.2525,24.2318,0.3134,27,1,17.9865,West
B,10.1141,34.1845,0.6019,18,0,15.6801,South
A,20.6796,0.5729,0.5552,11,0,11.7679,North
B,19.833,63.2849,0.6114,20,0,9.6321,West
B,18.2464,21.1824,0.517,48,1,13.387,East
B,18.6582,25.8728,0.2787,28,1,14.8149,North
A,21.957,23.3116,0.6652,33,2,17.2036,West
A,19.5892,13.9769,0.3153,8,0,12.6982,South
B,15.7523,41.4029,0.4642,15,0,15.1262,East
C,12.2274,67.0538,0.5014,38,1,15.4324,West
B,13.8763,19.4828,0.7443,17,1,15.7871,East
A,18.4496,29.0247,0.1634,9,0,18.2985,South
A,19.234,30.8955,0.688,23,0,17.3932,South
C,15.6506,120.0,0.4683,46,0,13.9202,North
B,21.6322,29.3452,0.4553,20,0,14.5464,East
A,16.4704,19.6999,0.538,6,0,11.4873,South
A,9.8906,40.1103,0.1814,8,0,11.2816,East
C,13.2215,30.9118,0.1924,40,1,11.5928,North
A,21.5961,16.5967,0.0772,25,0,14.3078,West
A,16.9958,49.4182,0.1321,36,0,16.8268,West
A,21.922,56.0126,0.2687,26,2,13.9849,South
B,8.785,34.187,0.3898,27,3,12.2551,North
C,14.4317,37.7604,0.1043,46,0,19.5522,North
C,11.0885,79.92,0.5979,1,0,14.343,West
B,8.9902,62.2417,0.4214,46,2,17.0905,South
B,14.9512,23.5898,0.8272,47,1,13.2796,East
A,13.6771,41.1613,0.1254,22,2,13.7945,East
B,17.0423,68.8451,0.5753,30,2,13.2447,East
A,18.3681,26.4815,0.24,23,1,14.9364,North
A,20.6244,21.5676,0.3793,16,0,12.9908,South
C,13.2965,18.5375,0.4917,43,1,11.3194,East
B,16.4208,62.8654,0.6802,17,1,13.3925,West
C,8.9894,28.0214,0.4245,39,1,18.2116,West
B,18.2017,25.761,0.447,37,1,17.6556,North
C,11.1834,35.1247,0.6512,10,0,12.1254,East
C,11.6585,23.135,0.7634,28,1,14.9426,East
B,17.974,16.2071,0.5325,15,0,11.6289,West
C,15.9831,23.0645,0.6658,29,1,16.3316,West
B,13.4617,35.8814,0.374,33,0,14.1715,South
